Frame;Volto;Data;Ora
../persons/2023/11/20/person_20231120_222521.jpg;../faces/2023/11/20/face_20231120_222521.jpg;11/20/2023;22:25:21
../persons/2023/11/20/person_20231120_222521.jpg;../faces/2023/11/20/face_20231120_222521.jpg;11/20/2023;22:25:21
../persons/2023/11/20/person_20231120_222521.jpg;../faces/2023/11/20/face_20231120_222521.jpg;11/20/2023;22:25:21
../persons/2023/11/20/person_20231120_222521.jpg;../faces/2023/11/20/face_20231120_222521.jpg;11/20/2023;22:25:21
../persons/2023/11/20/person_20231120_222521.jpg;../faces/2023/11/20/face_20231120_222521.jpg;11/20/2023;22:25:21
../persons/2023/11/20/person_20231120_222521.jpg;../faces/2023/11/20/face_20231120_222521.jpg;11/20/2023;22:25:21
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222522.jpg;../faces/2023/11/20/face_20231120_222522.jpg;11/20/2023;22:25:22
../persons/2023/11/20/person_20231120_222523.jpg;../faces/2023/11/20/face_20231120_222523.jpg;11/20/2023;22:25:23
../persons/2023/11/20/person_20231120_222523.jpg;../faces/2023/11/20/face_20231120_222523.jpg;11/20/2023;22:25:23
../persons/2023/11/20/person_20231120_222523.jpg;../faces/2023/11/20/face_20231120_222523.jpg;11/20/2023;22:25:23
../persons/2023/11/20/person_20231120_222523.jpg;../faces/2023/11/20/face_20231120_222523.jpg;11/20/2023;22:25:23
../persons/2023/11/20/person_20231120_222523.jpg;../faces/2023/11/20/face_20231120_222523.jpg;11/20/2023;22:25:23
../persons/2023/11/20/person_20231120_222523.jpg;../faces/2023/11/20/face_20231120_222523.jpg;11/20/2023;22:25:23
../persons/2023/11/20/person_20231120_222523.jpg;../faces/2023/11/20/face_20231120_222523.jpg;11/20/2023;22:25:23
../persons/2023/11/20/person_20231120_222523.jpg;../faces/2023/11/20/face_20231120_222523.jpg;11/20/2023;22:25:23
